Companies
DKNG
WBA
AAL
AMZN
SQ
TSLA
NSTG
CRSP
NKE
AAPL
TER
MMM
HON
BABA
GOOGL
IRDM
TGT
FATE
BLI
V
BYND
WMT
CSCO
TWTR
JPM
TRMB
TRV
BA
SE
SBUX
CGEN
ACB
DIS
PD
COIN
NTLA
TSP
SNDL
AMC
INTC
CRM
ROKU
TXG
PG
NIO
NVTA
AMGN
PLTR
UBER
SHOP
MCRB
SSYS
IOVA
XOM
MTLS
F
MCD
DOW
NOK
AMD
GE
MSFT
SPCE
GS
JNJ
NVDA
TWOU
T
TDOC
PRLB
NTDOY
Z
TWLO
EXAS
ZM
CCL
U
CERS
HOOD
CAT
DOCU
TLRY
SRNG
MRNA
NFLX
LUV
FB
SKLZ
COST
GME
PYPL
PFE
ZOM
SPOT
BEAM
BRK/B
EDIT
TWST
SGFY
VZ
